Roll No,Marks Lab report (Out of 20),Marks Mid-Semester (Out of 40),Total Marks,Total Marks Percentage,Batch
200195,17.0,27.2,44.2,73.66666666666667,Y20
200962,15.375,25.6,40.975,68.29166666666667,Y20
201003,18.5625,25.2,43.7625,72.9375,Y20
200364,13.75,9.2,22.95,38.25,Y20
200662,14.625,35.6,50.225,83.70833333333333,Y20
200691,9.0,35.6,44.6,74.33333333333333,Y20
200210,14.375,30.0,44.375,73.95833333333333,Y20
200029,16.5,25.6,42.1,70.16666666666667,Y20
200614,16.5,27.2,43.7,72.83333333333333,Y20
200808,18.875,30.0,48.875,81.45833333333333,Y20
200781,17.875,27.6,45.475,75.79166666666667,Y20
200607,15.75,22.4,38.15,63.583333333333336,Y20
200126,15.0,32.0,47.0,78.33333333333333,Y20
200579,10.5,16.4,26.9,44.833333333333336,Y20
200517,16.625,23.2,39.825,66.37500000000001,Y20
200266,14.375,22.0,36.375,60.625,Y20
200605,11.75,29.2,40.95,68.25000000000001,Y20
200876,17.0,25.2,42.2,70.33333333333333,Y20
200072,19.125,30.0,49.125,81.875,Y20
201045,18.5625,18.4,36.9625,61.604166666666664,Y20
200545,11.5,34.8,46.3,77.16666666666667,Y20
200752,19.375,35.2,54.575,90.95833333333333,Y20
200125,18.125,29.6,47.725,79.54166666666667,Y20
200205,5.5625,23.2,28.7625,47.9375,Y20
200746,13.75,11.6,25.35,42.25,Y20
200323,17.375,24.0,41.375,68.95833333333333,Y20
200160,18.125,18.4,36.525,60.875,Y20
200226,13.875,38.4,52.275,87.125,Y20
200261,18.875,20.0,38.875,64.79166666666667,Y20
200346,15.125,31.6,46.725,77.875,Y20
200474,10.75,28.4,39.15,65.25,Y20
200655,17.875,19.6,37.475,62.458333333333336,Y20
200268,18.5,20.0,38.5,64.16666666666667,Y20
200964,16.875,23.2,40.075,66.79166666666667,Y20
201008,17.0,24.8,41.8,69.66666666666667,Y20
200434,14.75,32.0,46.75,77.91666666666667,Y20
201067,15.625,34.0,49.625,82.70833333333333,Y20
201102,16.5625,20.8,37.3625,62.27083333333333,Y20
200574,13.25,32.8,46.05,76.75,Y20
200020,18.25,36.0,54.25,90.41666666666667,Y20
200258,19.125,28.8,47.925,79.875,Y20
200185,16.5,33.6,50.1,83.5,Y20
200819,15.625,39.6,55.225,92.04166666666667,Y20
200750,13.25,29.6,42.85,71.41666666666667,Y20
200216,17.0625,38.4,55.4625,92.4375,Y20
200322,12.75,41.2,53.95,89.91666666666667,Y20
200954,5.0,14.0,19.0,31.666666666666668,Y20
200710,19.5,32.4,51.9,86.5,Y20
200501,4.375,31.2,35.575,59.29166666666667,Y20
200238,18.125,31.6,49.725,82.875,Y20
200014,17.75,31.2,48.95,81.58333333333333,Y20
201023,7.9375,26.0,33.9375,56.5625,Y20
200716,15.0,40.0,55.0,91.66666666666667,Y20
200640,18.375,26.4,44.775,74.625,Y20
200417,14.125,30.8,44.925,74.875,Y20
200141,10.75,15.2,25.95,43.25,Y20
201038,14.25,33.2,47.45,79.08333333333333,Y20
201022,12.8125,35.6,48.4125,80.6875,Y20
201061,19.0,26.0,45.0,75.0,Y20
200883,15.25,26.0,41.25,68.75,Y20
200405,15.875,26.0,41.875,69.79166666666667,Y20
201145,10.0,31.2,41.2,68.66666666666667,Y20
200692,15.375,30.4,45.775,76.29166666666667,Y20
201075,12.1875,32.0,44.1875,73.64583333333333,Y20
200249,12.875,30.4,43.275,72.125,Y20
200170,13.25,17.6,30.85,51.416666666666664,Y20
200527,14.125,14.4,28.525,47.541666666666664,Y20
200666,9.25,16.0,25.25,42.083333333333336,Y20
200436,12.25,22.0,34.25,57.083333333333336,Y20
200528,11.125,34.4,45.525,75.875,Y20
200154,19.0,27.6,46.6,77.66666666666667,Y20
200929,14.125,24.8,38.925,64.87499999999999,Y20
200630,15.75,28.4,44.15,73.58333333333333,Y20
200006,19.375,15.2,34.575,57.62500000000001,Y20
200348,16.375,24.0,40.375,67.29166666666667,Y20
201080,14.6875,18.0,32.6875,54.479166666666664,Y20
200821,13.75,25.2,38.95,64.91666666666667,Y20
200880,17.625,34.0,51.625,86.04166666666667,Y20
200958,12.25,24.4,36.65,61.083333333333336,Y20
201134,4.125,28.4,32.525,54.208333333333336,Y20
200639,15.625,34.0,49.625,82.70833333333333,Y20
200497,15.75,0.0,15.75,26.25,Y20
200253,7.625,25.6,33.225,55.375,Y20
200086,16.625,19.2,35.825,59.70833333333334,Y20
200425,13.625,24.0,37.625,62.708333333333336,Y20
200252,11.5,24.0,35.5,59.166666666666664,Y20
200108,19.5,32.4,51.9,86.5,Y20
200585,16.25,18.4,34.65,57.75,Y20
201109,18.625,38.8,57.425,95.70833333333333,Y20
200224,11.375,32.8,44.175,73.625,Y20
201090,12.75,22.4,35.15,58.583333333333336,Y20
200403,15.875,22.8,38.675,64.45833333333333,Y20
200657,16.125,32.0,48.125,80.20833333333333,Y20
200400,10.625,27.2,37.825,63.04166666666667,Y20
200864,13.375,26.0,39.375,65.625,Y20
200402,16.375,29.2,45.575,75.95833333333333,Y20
200312,10.875,22.8,33.675,56.12499999999999,Y20
200055,16.5,29.2,45.7,76.16666666666667,Y20
200111,17.375,26.0,43.375,72.29166666666667,Y20
200315,15.5,26.8,42.3,70.5,Y20
200418,15.125,34.8,49.925,83.20833333333333,Y20
200051,16.25,31.2,47.45,79.08333333333333,Y20
200016,17.5,12.8,30.3,50.5,Y20
200635,18.375,19.2,37.575,62.62500000000001,Y20
200109,9.625,32.8,42.425,70.70833333333333,Y20
201054,13.5,19.6,33.1,55.166666666666664,Y20
200166,15.75,25.2,40.95,68.25000000000001,Y20
200147,16.5,26.8,43.3,72.16666666666667,Y20
200334,17.375,35.2,52.575,87.625,Y20
200577,14.75,24.8,39.55,65.91666666666666,Y20
200598,16.625,20.0,36.625,61.041666666666664,Y20
200810,19.125,27.2,46.325,77.20833333333333,Y20
200960,17.875,22.0,39.875,66.45833333333333,Y20
200861,11.125,33.6,44.725,74.54166666666667,Y20
200786,11.375,24.0,35.375,58.958333333333336,Y20
200565,14.0,27.6,41.6,69.33333333333333,Y20
200788,11.5,22.8,34.3,57.16666666666666,Y20
201009,18.75,27.6,46.35,77.25,Y20
200019,18.625,28.4,47.025,78.375,Y20
200857,10.125,33.2,43.325,72.20833333333333,Y20
200276,11.625,25.2,36.825,61.37500000000001,Y20
200146,18.625,32.0,50.625,84.375,Y20
200523,17.25,18.0,35.25,58.75,Y20
200375,11.0,20.0,31.0,51.666666666666664,Y20
200790,17.625,22.4,40.025,66.70833333333333,Y20
201108,15.375,28.4,43.775,72.95833333333333,Y20
200183,12.875,15.2,28.075,46.791666666666664,Y20
201163,18.0,10.8,28.8,48.0,Y20
201027,15.625,24.8,40.425,67.37499999999999,Y20
200040,16.125,31.6,47.725,79.54166666666667,Y20
200713,12.25,35.2,47.45,79.08333333333333,Y20
200547,7.875,22.8,30.675,51.125,Y20
200274,16.0,37.2,53.2,88.66666666666667,Y20
200909,17.125,30.4,47.525,79.20833333333333,Y20
200275,16.0,20.8,36.8,61.33333333333333,Y20
200778,16.875,36.8,53.675,89.45833333333333,Y20
200337,15.125,30.0,45.125,75.20833333333333,Y20
200162,18.0,39.2,57.2,95.33333333333333,Y20
200951,14.625,30.4,45.025,75.04166666666667,Y20
200005,19.0,29.2,48.2,80.33333333333333,Y20
200191,18.5,24.4,42.9,71.5,Y20
200899,16.625,31.2,47.825,79.70833333333333,Y20
200979,0.0,26.4,26.4,44.0,Y20
200103,15.125,22.8,37.925,63.20833333333333,Y20
200874,14.125,29.2,43.325,72.20833333333333,Y20
200144,19.75,38.8,58.55,97.58333333333333,Y20
200230,18.125,19.6,37.725,62.875,Y20
200050,19.375,32.8,52.175,86.95833333333333,Y20
200479,17.625,30.4,48.025,80.04166666666667,Y20
200934,16.875,24.4,41.275,68.79166666666667,Y20
201082,17.75,32.4,50.15,83.58333333333333,Y20
200305,19.125,24.4,43.525,72.54166666666667,Y20
200437,15.375,17.6,32.975,54.958333333333336,Y20
200952,17.375,26.8,44.175,73.625,Y20
201111,8.5,18.8,27.3,45.5,Y20
201131,15.25,26.4,41.65,69.41666666666667,Y20
200054,11.375,30.8,42.175,70.29166666666667,Y20
200277,18.375,16.4,34.775,57.958333333333336,Y20
200921,7.0,24.8,31.8,53.0,Y20
201035,11.625,29.6,41.225,68.70833333333333,Y20
200652,17.5,24.0,41.5,69.16666666666667,Y20
200935,17.375,32.4,49.775,82.95833333333333,Y20
200854,16.0,26.4,42.4,70.66666666666667,Y20
201120,16.0,26.0,42.0,70.0,Y20
201010,17.125,35.6,52.725,87.875,Y20
201065,17.0625,8.0,25.0625,41.770833333333336,Y20
200943,15.875,30.0,45.875,76.45833333333333,Y20
200846,17.0,29.6,46.6,77.66666666666667,Y20
200751,9.25,18.0,27.25,45.416666666666664,Y20
200742,13.75,22.0,35.75,59.583333333333336,Y20
200105,17.0,33.6,50.6,84.33333333333333,Y20
200680,19.75,31.6,51.35,85.58333333333333,Y20
201074,12.125,33.2,45.325,75.54166666666667,Y20
201107,18.75,32.0,50.75,84.58333333333333,Y20
201014,19.25,16.0,35.25,58.75,Y20
200804,10.875,15.6,26.475,44.125,Y20
200075,18.0,32.0,50.0,83.33333333333333,Y20
200647,12.125,34.4,46.525,77.54166666666667,Y20
200379,8.875,28.8,37.675,62.79166666666666,Y20
200209,18.625,35.2,53.825,89.70833333333333,Y20
201137,14.625,28.0,42.625,71.04166666666667,Y20
200669,11.875,24.0,35.875,59.791666666666664,Y20
200248,15.375,26.8,42.175,70.29166666666667,Y20
201092,11.875,26.8,38.675,64.45833333333333,Y20
200930,15.625,0.0,15.625,26.041666666666668,Y20
200863,16.625,29.6,46.225,77.04166666666667,Y20
200670,2.5,35.2,37.7,62.83333333333334,Y20
200816,19.25,33.6,52.85,88.08333333333333,Y20
200407,4.5,25.6,30.1,50.166666666666664,Y20
200363,9.75,15.2,24.95,41.583333333333336,Y20
201063,14.6875,29.2,43.8875,73.14583333333333,Y20
200351,13.875,31.2,45.075,75.125,Y20
200236,14.25,31.6,45.85,76.41666666666667,Y20
200531,18.625,33.2,51.825,86.375,Y20
200853,17.125,23.6,40.725,67.875,Y20
200083,13.875,33.6,47.475,79.125,Y20
200128,8.875,32.0,40.875,68.125,Y20
201091,18.6875,33.2,51.8875,86.47916666666667,Y20
200654,4.225,30.8,35.025,58.375,Y20
201000,17.5,31.2,48.7,81.16666666666667,Y20
200018,14.875,14.4,29.275,48.791666666666664,Y20
200319,15.5,24.0,39.5,65.83333333333333,Y20
200171,15.0,34.0,49.0,81.66666666666667,Y20
200052,10.0,28.8,38.8,64.66666666666666,Y20
200823,19.0,34.4,53.4,89.0,Y20
200299,17.625,24.4,42.025,70.04166666666667,Y20
200096,19.25,22.8,42.05,70.08333333333333,Y20
200834,16.25,14.0,30.25,50.416666666666664,Y20
200835,14.375,19.6,33.975,56.625,Y20
200152,17.75,30.8,48.55,80.91666666666667,Y20
200644,16.125,31.2,47.325,78.875,Y20
200239,12.75,28.0,40.75,67.91666666666667,Y20
200251,13.5,22.8,36.3,60.49999999999999,Y20
201127,17.5,24.0,41.5,69.16666666666667,Y20
200177,10.125,35.2,45.325,75.54166666666667,Y20
200361,17.75,28.4,46.15,76.91666666666667,Y20
200809,17.375,19.6,36.975,61.625,Y20
200942,17.125,32.4,49.525,82.54166666666667,Y20
200257,17.25,28.0,45.25,75.41666666666667,Y20
200924,11.75,24.4,36.15,60.25,Y20
200524,18.375,32.8,51.175,85.29166666666667,Y20
200381,17.625,33.6,51.225,85.375,Y20
200042,13.875,26.8,40.675,67.79166666666666,Y20
200944,17.375,26.8,44.175,73.625,Y20
200974,17.625,30.0,47.625,79.375,Y20
200132,13.875,29.6,43.475,72.45833333333333,Y20
200093,17.25,22.0,39.25,65.41666666666667,Y20
200988,15.75,32.0,47.75,79.58333333333333,Y20
200300,17.875,25.6,43.475,72.45833333333333,Y20
201100,9.0625,29.6,38.6625,64.4375,Y20
201135,18.25,14.8,33.05,55.08333333333333,Y20
200888,15.0,22.8,37.8,62.99999999999999,Y20
200636,12.75,28.8,41.55,69.25,Y20
201118,18.625,30.0,48.625,81.04166666666667,Y20
200498,16.375,25.2,41.575,69.29166666666667,Y20
201130,6.125,28.0,34.125,56.875,Y20
200021,16.0,31.2,47.2,78.66666666666667,Y20
200127,17.125,29.2,46.325,77.20833333333333,Y20
200290,10.75,34.0,44.75,74.58333333333333,Y20
200682,16.75,34.8,51.55,85.91666666666667,Y20
201034,17.3125,10.0,27.3125,45.520833333333336,Y20
200491,15.625,29.6,45.225,75.375,Y20
201070,16.5,30.0,46.5,77.5,Y20
200217,10.875,29.6,40.475,67.45833333333333,Y20
200690,19.375,23.2,42.575,70.95833333333333,Y20
201164,15.625,36.8,52.425,87.375,Y20
200623,18.875,31.6,50.475,84.125,Y20
200082,6.75,25.6,32.35,53.916666666666664,Y20
200142,14.25,24.0,38.25,63.75,Y20
201153,13.875,29.6,43.475,72.45833333333333,Y20
200250,18.75,24.8,43.55,72.58333333333333,Y20
200068,17.75,21.6,39.35,65.58333333333333,Y20
200090,18.5,20.0,38.5,64.16666666666667,Y20
200767,15.125,24.0,39.125,65.20833333333333,Y20
201048,18.5625,29.6,48.1625,80.27083333333333,Y20
201150,15.875,35.2,51.075,85.125,Y20
200451,15.5,20.0,35.5,59.166666666666664,Y20
200353,14.375,22.4,36.775,61.291666666666664,Y20
201124,7.5,26.8,34.3,57.16666666666666,Y20
200522,16.125,22.4,38.525,64.20833333333333,Y20
200800,13.5,36.0,49.5,82.5,Y20
201136,15.625,26.8,42.425,70.70833333333333,Y20
200734,4.0,25.2,29.2,48.666666666666664,Y20
200868,16.75,23.2,39.95,66.58333333333334,Y20
200764,11.5,30.0,41.5,69.16666666666667,Y20
200233,17.75,29.6,47.35,78.91666666666667,Y20
200755,19.375,32.0,51.375,85.625,Y20
200759,18.125,25.2,43.325,72.20833333333333,Y20
200947,12.0,40.0,52.0,86.66666666666667,Y20
200362,18.25,28.4,46.65,77.75,Y20
200765,19.25,30.4,49.65,82.75,Y20
200308,15.375,29.6,44.975,74.95833333333333,Y20
200959,10.125,10.4,20.525,34.208333333333336,Y20
200557,19.0,27.2,46.2,77.0,Y20
201026,18.9375,15.6,34.5375,57.5625,Y20
200987,15.125,31.6,46.725,77.875,Y20
200173,15.125,26.0,41.125,68.54166666666667,Y20
200294,13.625,27.6,41.225,68.70833333333333,Y20
200932,8.125,33.2,41.325,68.875,Y20
200512,18.75,22.4,41.15,68.58333333333333,Y20
200520,18.25,22.4,40.65,67.75,Y20
201069,17.0,26.8,43.8,73.0,Y20
200113,18.375,27.6,45.975,76.625,Y20
200969,17.0,21.6,38.6,64.33333333333333,Y20
200167,14.375,31.2,45.575,75.95833333333333,Y20
200776,18.875,21.6,40.475,67.45833333333333,Y20
201117,17.625,28.0,45.625,76.04166666666667,Y20
200292,17.625,31.2,48.825,81.375,Y20
200100,18.625,24.8,43.425,72.375,Y20
200758,18.5,38.0,56.5,94.16666666666667,Y20
201171,18.5,31.6,50.1,83.5,Y20
201158,15.25,24.4,39.65,66.08333333333333,Y20
200612,15.625,32.8,48.425,80.70833333333333,Y20
200904,5.75,12.0,17.75,29.583333333333332,Y20
200699,7.5,39.6,47.1,78.5,Y20
200681,18.875,28.4,47.275,78.79166666666667,Y20
200601,10.375,30.8,41.175,68.625,Y20
200493,9.5,21.6,31.1,51.833333333333336,Y20
200131,19.625,2.0,21.625,36.041666666666664,Y20
201042,18.75,28.4,47.15,78.58333333333333,Y20
200169,17.75,28.4,46.15,76.91666666666667,Y20
201028,15.6875,28.4,44.0875,73.47916666666667,Y20
200438,12.25,24.8,37.05,61.74999999999999,Y20
200945,15.5,27.2,42.7,71.16666666666667,Y20
200023,16.625,30.0,46.625,77.70833333333333,Y20
201170,17.75,28.0,45.75,76.25,Y20
200278,16.625,28.8,45.425,75.70833333333333,Y20
200180,18.125,26.4,44.525,74.20833333333333,Y20
200609,17.375,18.4,35.775,59.625,Y20
200439,18.125,31.6,49.725,82.875,Y20
200688,18.0,31.6,49.6,82.66666666666667,Y20
200197,12.25,32.0,44.25,73.75,Y20
200473,17.0,29.6,46.6,77.66666666666667,Y20
200589,17.75,38.0,55.75,92.91666666666667,Y20
200570,7.625,19.2,26.825,44.708333333333336,Y20
200970,15.0,33.6,48.6,81.0,Y20
200347,15.0,18.8,33.8,56.33333333333333,Y20
200933,0.0,0.0,0.0,0.0,Y20
200706,11.5,32.0,43.5,72.5,Y20
200975,15.75,27.6,43.35,72.25,Y20
200118,18.75,28.4,47.15,78.58333333333333,Y20
200452,13.0,20.8,33.8,56.33333333333333,Y20
200937,10.0,24.4,34.4,57.333333333333336,Y20
200696,20.0,24.0,44.0,73.33333333333333,Y20
200102,19.125,28.8,47.925,79.875,Y20
200069,17.625,23.2,40.825,68.04166666666667,Y20
200516,18.0,32.4,50.4,84.0,Y20
200922,12.75,13.2,25.95,43.25,Y20
200822,10.25,33.6,43.85,73.08333333333333,Y20
200862,14.25,22.8,37.05,61.74999999999999,Y20
200747,4.375,31.2,35.575,59.29166666666667,Y20
201123,14.5,21.6,36.1,60.166666666666664,Y20
200814,13.375,26.4,39.775,66.29166666666667,Y20
200983,16.75,29.2,45.95,76.58333333333333,Y20
200890,14.5,32.0,46.5,77.5,Y20
200159,17.375,30.0,47.375,78.95833333333333,Y20
200336,7.0,15.2,22.2,37.0,Y20
201041,16.0,38.8,54.8,91.33333333333333,Y20
200431,11.75,20.8,32.55,54.24999999999999,Y20
200049,11.375,28.4,39.775,66.29166666666667,Y20
200697,18.75,31.6,50.35,83.91666666666667,Y20
200738,19.375,21.6,40.975,68.29166666666667,Y20
200085,17.625,30.8,48.425,80.70833333333333,Y20
200887,17.5,36.0,53.5,89.16666666666667,Y20
200206,8.0,25.6,33.6,56.0,Y20
200957,12.875,25.2,38.075,63.45833333333334,Y20
200271,18.375,28.4,46.775,77.95833333333333,Y20
200176,18.125,34.8,52.925,88.20833333333333,Y20
200378,12.375,35.2,47.575,79.29166666666667,Y20
200222,13.625,21.6,35.225,58.708333333333336,Y20
200426,16.5,30.8,47.3,78.83333333333333,Y20
200708,17.5,0.0,17.5,29.166666666666668,Y20
200332,16.0,37.2,53.2,88.66666666666667,Y20
200476,15.75,36.4,52.15,86.91666666666667,Y20
200660,13.125,31.2,44.325,73.875,Y20
200829,15.0,34.0,49.0,81.66666666666667,Y20
201159,16.375,31.2,47.575,79.29166666666667,Y20
200475,8.5,28.0,36.5,60.833333333333336,Y20
200368,13.375,20.8,34.175,56.95833333333333,Y20
200791,15.625,31.6,47.225,78.70833333333333,Y20
200606,18.0,27.2,45.2,75.33333333333333,Y20
200359,9.375,26.4,35.775,59.625,Y20
200031,16.625,30.8,47.425,79.04166666666667,Y20
200513,13.75,33.2,46.95,78.25,Y20
200340,16.625,30.0,46.625,77.70833333333333,Y20
201081,19.0,29.6,48.6,81.0,Y20
200427,14.875,26.4,41.275,68.79166666666667,Y20
200766,18.625,26.8,45.425,75.70833333333333,Y20
200138,18.75,29.6,48.35,80.58333333333333,Y20
200123,13.875,29.6,43.475,72.45833333333333,Y20
200444,18.25,19.6,37.85,63.083333333333336,Y20
200307,18.5,24.4,42.9,71.5,Y20
200729,13.75,19.6,33.35,55.583333333333336,Y20
200320,13.5,10.0,23.5,39.166666666666664,Y20
200039,19.875,34.4,54.275,90.45833333333333,Y20
200551,13.25,28.8,42.05,70.08333333333333,Y20
201085,2.4375,36.0,38.4375,64.0625,Y20
200827,16.375,28.0,44.375,73.95833333333333,Y20
200044,12.25,22.4,34.65,57.75,Y20
200028,16.75,24.8,41.55,69.25,Y20
200030,15.0,24.4,39.4,65.66666666666667,Y20
200333,12.625,34.8,47.425,79.04166666666667,Y20
200843,8.5,28.8,37.3,62.16666666666666,Y20
200358,16.625,32.0,48.625,81.04166666666667,Y20
200707,4.25,27.2,31.45,52.416666666666664,Y20
200695,11.5,34.4,45.9,76.5,Y20
200965,12.75,31.6,44.35,73.91666666666667,Y20
200447,6.0,26.8,32.8,54.66666666666666,Y20
200010,14.375,28.8,43.175,71.95833333333333,Y20
200095,19.125,28.4,47.525,79.20833333333333,Y20
200798,13.5,28.0,41.5,69.16666666666667,Y20
200267,7.125,12.0,19.125,31.875,Y20
200061,16.25,31.2,47.45,79.08333333333333,Y20
200789,19.25,24.8,44.05,73.41666666666667,Y20
201149,18.25,26.8,45.05,75.08333333333333,Y20
200762,16.5,26.8,43.3,72.16666666666667,Y20
200181,6.25,24.0,30.25,50.416666666666664,Y20
200047,18.25,28.8,47.05,78.41666666666667,Y20
200618,14.0,28.4,42.4,70.66666666666667,Y20
200079,14.5,29.2,43.7,72.83333333333333,Y20
200940,10.125,17.2,27.325,45.541666666666664,Y20
200157,6.125,34.8,40.925,68.20833333333333,Y20
200950,14.75,32.4,47.15,78.58333333333333,Y20
200511,16.875,18.8,35.675,59.45833333333333,Y20
200311,8.25,32.4,40.65,67.75,Y20
200653,16.25,26.8,43.05,71.75,Y20
200193,13.875,28.8,42.675,71.125,Y20
200035,18.25,31.2,49.45,82.41666666666667,Y20
200380,13.875,0.0,13.875,23.125,Y20
200805,15.75,24.0,39.75,66.25,Y20
200342,6.125,17.6,23.725,39.541666666666664,Y20
200406,9.625,33.2,42.825,71.375,Y20
200122,16.625,17.6,34.225,57.041666666666664,Y20
200457,13.5,32.4,45.9,76.5,Y20
200724,15.0,27.2,42.2,70.33333333333333,Y20
200149,14.75,32.8,47.55,79.25,Y20
200071,19.5,22.8,42.3,70.5,Y20
200328,18.0,31.2,49.2,82.0,Y20
200097,7.125,31.2,38.325,63.87500000000001,Y20
200063,14.75,28.0,42.75,71.25,Y20
200678,9.0,32.8,41.8,69.66666666666667,Y20
200694,14.25,29.2,43.45,72.41666666666667,Y20
200386,11.625,30.8,42.425,70.70833333333333,Y20
200012,14.0,36.8,50.8,84.66666666666667,Y20
200793,19.25,31.2,50.45,84.08333333333333,Y20
201160,15.75,31.2,46.95,78.25,Y20
200283,18.25,38.4,56.65,94.41666666666667,Y20
200367,16.5,16.8,33.3,55.49999999999999,Y20
200488,13.375,30.8,44.175,73.625,Y20
201101,9.625,31.2,40.825,68.04166666666667,Y20
200487,12.75,27.2,39.95,66.58333333333334,Y20
201154,18.0,38.0,56.0,93.33333333333333,Y20
200705,19.75,18.0,37.75,62.916666666666664,Y20
200626,14.125,30.0,44.125,73.54166666666667,Y20
200774,18.75,26.8,45.55,75.91666666666667,Y20
200782,16.375,26.0,42.375,70.625,Y20
201037,16.0,22.0,38.0,63.333333333333336,Y20
200324,18.75,34.8,53.55,89.25,Y20
200453,9.0,19.2,28.2,47.0,Y20
200811,18.625,24.4,43.025,71.70833333333333,Y20
200114,19.25,28.4,47.65,79.41666666666667,Y20
200464,11.25,33.2,44.45,74.08333333333333,Y20
200526,14.375,22.0,36.375,60.625,Y20
200847,16.125,28.0,44.125,73.54166666666667,Y20
200369,13.625,20.4,34.025,56.708333333333336,Y20
200156,19.25,33.6,52.85,88.08333333333333,Y20
200571,13.625,27.6,41.225,68.70833333333333,Y20
200869,16.375,24.4,40.775,67.95833333333333,Y20
200273,10.75,18.8,29.55,49.25,Y20
200514,13.375,40.4,53.775,89.625,Y20
200877,17.25,34.0,51.25,85.41666666666667,Y20
201129,12.625,31.2,43.825,73.04166666666667,Y20
200543,17.0,28.4,45.4,75.66666666666667,Y20
200110,18.375,20.0,38.375,63.958333333333336,Y20
200421,15.375,20.8,36.175,60.29166666666666,Y20
200941,14.75,25.2,39.95,66.58333333333334,Y20
200184,18.875,22.0,40.875,68.125,Y20
201001,17.125,29.6,46.725,77.875,Y20
200509,17.75,35.6,53.35,88.91666666666667,Y20
200223,0.0,18.4,18.4,30.666666666666664,Y20
200484,16.0,30.0,46.0,76.66666666666667,Y20
201002,6.75,0.0,6.75,11.25,Y20
200502,9.75,33.6,43.35,72.25,Y20
200604,13.375,26.0,39.375,65.625,Y20
200298,14.875,28.8,43.675,72.79166666666667,Y20
201099,18.0625,32.4,50.4625,84.10416666666667,Y20
200613,17.75,30.8,48.55,80.91666666666667,Y20
200355,17.875,38.8,56.675,94.45833333333333,Y20
200459,18.25,35.6,53.85,89.75,Y20
200773,19.0,36.4,55.4,92.33333333333333,Y20
200458,13.375,32.4,45.775,76.29166666666667,Y20
200489,18.375,33.2,51.575,85.95833333333333,Y20
200211,12.875,25.6,38.475,64.125,Y20
200269,18.375,30.4,48.775,81.29166666666667,Y20
200928,14.125,22.8,36.925,61.54166666666666,Y20
200394,15.875,20.8,36.675,61.12499999999999,Y20
200456,13.5,28.4,41.9,69.83333333333333,Y20
200376,18.5,32.4,50.9,84.83333333333333,Y20
200485,14.75,33.6,48.35,80.58333333333333,Y20
200288,18.5,20.8,39.3,65.49999999999999,Y20
200918,5.375,28.0,33.375,55.625,Y20
200679,13.5,26.4,39.9,66.5,Y20
200649,12.875,20.4,33.275,55.458333333333336,Y20
200345,13.625,25.2,38.825,64.70833333333334,Y20
200867,3.5,26.0,29.5,49.166666666666664,Y20
200228,17.25,23.6,40.85,68.08333333333333,Y20
200610,12.75,26.4,39.15,65.25,Y20
200048,18.0,17.6,35.6,59.333333333333336,Y20
201113,13.0,14.8,27.8,46.333333333333336,Y20
200871,7.875,23.6,31.475,52.458333333333336,Y20
200837,8.125,22.4,30.525,50.875,Y20
200689,18.25,22.0,40.25,67.08333333333333,Y20
200302,14.5,26.8,41.3,68.83333333333333,Y20
200757,18.625,14.8,33.425,55.70833333333333,Y20
200824,7.625,27.2,34.825,58.04166666666667,Y20
200770,17.625,18.0,35.625,59.375,Y20
200806,19.5,28.0,47.5,79.16666666666667,Y20
200885,12.375,26.4,38.775,64.625,Y20
200192,13.625,30.0,43.625,72.70833333333333,Y20
200769,14.125,32.4,46.525,77.54166666666667,Y20
200576,14.375,12.8,27.175,45.291666666666664,Y20
201162,18.0,33.2,51.2,85.33333333333333,Y20
18817528,6.75,27.2,33.95,56.58333333333334,Others
